TituloObra;Artista;TítuloCompleto;ArtistaCatálogo;Museo
Affiche voor de expositie van de serie Elles van Toulouse-Lautrec bij la Plume;Henri de Toulouse-Lautrec;Affiche voor de expositie van de serie Elles van Toulouse-Lautrec bij la Plume, Henri de Toulouse-Lautrec, 1896;Henri de Toulouse-Lautrec;RIJKSMUSEUM
Liggend meisje bang voor geesten van overledenen;Paul Gauguin;Liggend meisje bang voor geesten van overledenen, Paul Gauguin, 1894;Paul Gauguin;RIJKSMUSEUM
