Artista;PapelArtista;TituloObra;FechaDeTexto;Medio;Año;AñoAdquisicion;Dimensiones;Ancho;Alto;ArtistaCatálogo;Museo
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 370 x 603 mm;370.0;603.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;Han Shan Exit;1992;Etching and aquatint on paper;1992;1992;image: 186 x 138 mm;186.0;138.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 3;1991;Etching and aquatint on paper;1991;1992;image: 526 x 690 mm;526.0;690.0;Brice Marden;TATE
Marden, Brice;artist;[title not known];1979;Etching and aquatint on paper;1979;1983;image: 203 x 203 mm;203.0;203.0;Brice Marden;TATE
Marden, Brice;artist;5;1986;Aquatint  on paper;1986;1987;image: 203 x 175 mm;203.0;175.0;Brice Marden;TATE
Marden, Brice;artist;14;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;24;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;Untitled;1973–9;Etching on paper;1973;1993;unconfirmed: 812 x 915 mm;812.0;915.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 600 x 370 mm;600.0;370.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 2;1991;Etching and aquatint on paper;1991;1992;image: 525 x 690 mm;525.0;690.0;Brice Marden;TATE
Marden, Brice;artist;16;1986;Etching and aquatint on paper;1986;1987;image: 201 x 173 mm;201.0;173.0;Brice Marden;TATE
Marden, Brice;artist;20;1986;Aquatint on paper;1986;1987;image: 200 x 177 mm;200.0;177.0;Brice Marden;TATE
Marden, Brice;artist;22;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;9;1986;Etching and aquatint on paper;1986;1987;image: 203 x 175 mm;203.0;175.0;Brice Marden;TATE
Marden, Brice;artist;3;1986;Etching and aquatint  on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 4;1991;Etching and aquatint on paper;1991;1992;image: 526 x 690 mm;526.0;690.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 6;1991;Etching and aquatint on paper;1991;1992;image: 526 x 690 mm;526.0;690.0;Brice Marden;TATE
Marden, Brice;artist;18;1986;Etching and aquatint on paper;1986;1987;image: 203 x 175 mm;203.0;175.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;I;1986;Watercolour on paper;1986;1987;support: 470 x 1005 mm frame: 619 x 1152 x 39 mm;470.0;1005.0;Brice Marden;TATE
Marden, Brice;artist;7;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;21;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;23;1986;Etching and aquatint on paper;1986;1987;image: 200 x 177 mm;200.0;177.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 398 x 525 mm;398.0;525.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 305 x 382 mm;305.0;382.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 375 x 602 mm;375.0;602.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;25;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 550 x 272 mm;550.0;272.0;Brice Marden;TATE
Marden, Brice;artist;Untitled (e);1973;Intaglio print on paper;1973;1975;image: 705 x 508 mm;705.0;508.0;Brice Marden;TATE
Marden, Brice;artist;Untitled (c);1973;Intaglio print on paper;1973;1975;image: 705 x 508 mm;705.0;508.0;Brice Marden;TATE
Marden, Brice;artist;15;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;Untitled (b);1973;Intaglio print on paper;1973;1975;image: 705 x 508 mm;705.0;508.0;Brice Marden;TATE
Marden, Brice;artist;Untitled (a);1973;Intaglio print on paper;1973;1975;image: 705 x 508 mm;705.0;508.0;Brice Marden;TATE
Marden, Brice;artist;19;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 352 mm;251.0;352.0;Brice Marden;TATE
Marden, Brice;artist;13;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;[title not known];1979;Etching and aquatint on paper;1979;1983;image: 203 x 203 mm;203.0;203.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 353 mm;251.0;353.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 5;1991;Etching and aquatint on paper;1991;1992;image: 526 x 690 mm;526.0;690.0;Brice Marden;TATE
Marden, Brice;artist;4;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;[title not known];1979;Etching and aquatint on paper;1979;1983;image: 203 x 203 mm;203.0;203.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 353 mm;251.0;353.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;Cold Mountain Series, Zen Study 1;1991;Etching and aquatint on paper;1991;1992;image: 525 x 690 mm;525.0;690.0;Brice Marden;TATE
Marden, Brice;artist;2;1986;Etching and aquatint  on paper;1986;1987;image: 203 x 174 mm;203.0;174.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;10;1986;Etching and aquatint on paper;1986;1987;image: 201 x 173 mm;201.0;173.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 353 mm;251.0;353.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 381 x 301 mm;381.0;301.0;Brice Marden;TATE
Marden, Brice;artist;12;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1977;Intaglio print on paper;1977;1989;image: 251 x 175 mm;251.0;175.0;Brice Marden;TATE
Marden, Brice;artist;1;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;11;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;Untitled (d);1973;Intaglio print on paper;1973;1975;image: 705 x 508 mm;705.0;508.0;Brice Marden;TATE
Marden, Brice;artist;[no title];1971;Etching and aquatint on paper;1971;1993;image: 306 x 384 mm;306.0;384.0;Brice Marden;TATE
Marden, Brice;artist;Couplet III;1988–9;Oil paint on canvas;1988;1990;support: 2740 x 1520 x 65 mm;2740.0;1520.0;Brice Marden;TATE
Marden, Brice;artist;8;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;17;1986;Etching and aquatint on paper;1986;1987;image: 202 x 175 mm;202.0;175.0;Brice Marden;TATE
Marden, Brice;artist;6;1986;Etching and aquatint on paper;1986;1987;image: 202 x 174 mm;202.0;174.0;Brice Marden;TATE
Marden, Brice;artist;[title not known];1979;Etching and aquatint on paper;1979;1983;image: 203 x 203 mm;203.0;203.0;Brice Marden;TATE
Sherman, Cindy;artist;Untitled #100;1982;Photograph, colour, on paper;1982;1983;image: 1147 x 760 mm;1147.0;760.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189.5 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189.5 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled D;1975;Photograph, gelatin silver print on paper;1975;1997;image: 418 x 284 mm support: 430 x 355 mm support, secondary: 560 x 430 mm;418.0;284.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled Film Still #17;1978, reprinted 1998;Photograph, gelatin silver print on paper;1978;1998;image: 745 x 950 mm frame: 970 x 1157 x 32 mm;745.0;950.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled #126;1983;Photograph, colour, on paper;1983;1996;image: 1828 x 1218 mm;1828.0;1218.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled Film Still #27;1979, reprinted 1998;Photograph, gelatin silver print on paper;1979;1998;image: 975 x 683 mm frame: 1203 x 889 x 32 mm;975.0;683.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Doll Clothes;1975;Film, Super 8 mm, shown as video, monitor, black and white;1975;2008;2min, 22sec;;;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled Film Still #53;1980, reprinted 1998;Photograph, gelatin silver print on paper;1980;1998;image: 695 x 970 mm frame: 895 x 1192 x 32 mm;695.0;970.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled A;1975;Photograph, gelatin silver print on paper;1975;1997;support: 430 x 360 mm image: 414 x 283 mm;430.0;360.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled #99;1982;Photograph, colour, on paper;1982;1983;image: 1158 x 760 mm;1158.0;760.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189.5 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled C;1975;Photograph, gelatin silver print on paper;1975;1997;image: 418 x 283 mm support: 430 x 355 mm;418.0;283.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled #97;1982;Photograph, colour, on paper;1982;1983;image: 1150 x 760 mm;1150.0;760.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled B;1975;Photograph, gelatin silver print on paper;1975;1997;support: 430 x 355 mm image: 418 x 282 mm;430.0;355.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled Film Still #48;1979, reprinted 1998;Photograph, gelatin silver print on paper;1979;1998;image: 710 x 955 mm support, secondary: 920 x 1140 mm;710.0;955.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189.5 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled #98;1982;Photograph, colour, on paper;1982;1983;image: 1152 x 760 mm;1152.0;760.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled #263;1992;Photograph, colour, on paper;1992;2013;unconfirmed: 1000 x 1150 mm;1000.0;1150.0;Cindy Sherman;TATE
Sherman, Cindy;artist;Untitled;1976, printed 2000;Photograph, gelatin silver print on paper;1976;2001;image: 189 x 127 mm;189.0;127.0;Cindy Sherman;TATE
Struth, Thomas;artist;Vico dei Monti, Naples 1988;1988;Photograph, black and white, on paper;1988;1995;image: 585 x 418 mm;585.0;418.0;Thomas Struth;TATE
Struth, Thomas;artist;The Smith Family, Fife, Scotland 1989;1989;Photograph, colour, on paper;1989;1995;support: 1008 x 1264 mm image: 690 x 960 mm frame: 1030 x 1285 x 40 mm;1008.0;1264.0;Thomas Struth;TATE
Struth, Thomas;artist;Salzmannstrasse, Leipzig 1991;1991;Photograph, black and white, on paper;1991;1995;image: 463 x 569 mm;463.0;569.0;Thomas Struth;TATE
Struth, Thomas;artist;National Gallery I, London 1989;1989;Photograph, colour, on paper on Perspex;1989;1994;support: 1805 x 1965 mm frame: 1835 x 1995 x 49 mm;1805.0;1965.0;Thomas Struth;TATE
Struth, Thomas;artist;Schlosstrasse, Wittenberg 1991;1991;Photograph, black and white, on paper;1991;1995;image: 461 x 571 mm;461.0;571.0;Thomas Struth;TATE
Struth, Thomas;artist;Boats at Wushan, Yangtse River;1997;Photograph, colour, Chromogenic print, on paper;1997;1998;image: 1425 x 1825 mm;1425.0;1825.0;Thomas Struth;TATE
Struth, Thomas;artist;Via Giovanni Tappia, Naples 1989;1989;Photograph, black and white, on paper;1989;1995;image: 458 x 568 mm;458.0;568.0;Thomas Struth;TATE
Struth, Thomas;artist;Bankside 5, London 1995;1995;Photograph, colour, Chromogenic print, on paper;1995;2000;unconfirmed: 506 x 608 mm;506.0;608.0;Thomas Struth;TATE
Struth, Thomas;artist;Ferdinand-von-Schill-Strasse, Dessau 1991;1991;Photograph, black and white, on paper;1991;1995;image: 461 x 569 mm;461.0;569.0;Thomas Struth;TATE
Struth, Thomas;artist;Shinju-ku (TDK), Tokyo 1986;1986;Photograph, black and white, on paper;1986;1995;image: 349 x 594 mm;349.0;594.0;Thomas Struth;TATE
Struth, Thomas;artist;The Late Giles Robertson (with Book), Edinburgh 1987;1987;Photograph, colour, on paper;1987;1995;image: 439 x 579 mm;439.0;579.0;Thomas Struth;TATE
Struth, Thomas;artist;Galleria dell’Accademia I, Venice 1992;1992;Photograph, colour, on paper on Perspex;1992;1994;image: 1854 x 2294 mm support, secondary: 1854 x 2294 mm support: 1854 x 2294 mm frame: 1885 x 2325 mm;1854.0;2294.0;Thomas Struth;TATE
Struth, Thomas;artist;Hermannsgarten, Weissenfels 1991;1991;Photograph, black and white, on paper;1991;1995;image: 450 x 582 mm;450.0;582.0;Thomas Struth;TATE
Struth, Thomas;artist;Kyoko and Tomoharu Murakami, Tokyo 1991;1991;Photograph, colour, on paper;1991;1995;image: 673 x 898 mm;673.0;898.0;Thomas Struth;TATE
Struth, Thomas;artist;The Shimada Family, Yamaguchi, Japan 1986;1986;Photograph, colour, on paper;1986;1995;image: 945 x 1337 mm;945.0;1337.0;Thomas Struth;TATE
Struth, Thomas;artist;Graves at the Sophienkirche, Grosse Hamburger Strasse, Berlin 1992;1992;Photograph, black and white, on paper;1992;1995;image: 413 x 574 mm;413.0;574.0;Thomas Struth;TATE
Struth, Thomas;artist;Hannah Erdrich-Hartmann and Jana-Maria Hartmann, Düsseldorf 1987;1987;Photograph, black and white, on paper;1987;1995;image: 394 x 545 mm;394.0;545.0;Thomas Struth;TATE
Struth, Thomas;artist;Shinju-ku (Skyscrapers), Tokyo 1986;1986;Photograph, black and white, on paper;1986;1995;image: 421 x 584 mm;421.0;584.0;Thomas Struth;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 288 x 180 mm mount: 562 x 412 x 4 mm;288.0;180.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 288 x 180 mm mount: 561 x 408 x 4 mm;288.0;180.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 286 x 178 mm mount: 561 x 410 x 4 mm;286.0;178.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1988;Drypoint on paper;1988;1990;image: 125 x 69 mm;125.0;69.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Head;1982;Woodcut on paper;1982;1982;image: 651 x 502 mm;651.0;502.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 284 x 176 mm mount: 559 x 410 x 4 mm;284.0;176.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 290 x 179 mm mount: 561 x 409 x 4 mm;290.0;179.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Aquatint and drypoint on paper;1995;1997;image: 290 x 180 mm mount: 561 x 410 x 4 mm;290.0;180.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 283 x 179 mm mount: 561 x 409 x 4 mm;283.0;179.0;Georg Baselitz;TATE
Baselitz, Georg;artist;From the Front;1985;Relief print on paper;1985;1985;image: 650 x 490 mm;650.0;490.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 285 x 175 mm mount: 561 x 410 x 4 mm;285.0;175.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Untitled;1965;Etching on paper;1965;1982;image: 310 x 245 mm frame: 756 x 589 x 26 mm;310.0;245.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Green VIII;1990;Woodcut on paper;1990;1991;image: 620 x 300 mm;620.0;300.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 292 x 178 mm mount: 561 x 409 x 4 mm;292.0;178.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 285 x 178 mm mount: 561 x 409 x 4 mm;285.0;178.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 287 x 177 mm mount: 561 x 412 x 4 mm;287.0;177.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 286 x 178 mm mount: 561 x 411 x 4 mm;286.0;178.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 289 x 179 mm mount: 562 x 410 x 4 mm;289.0;179.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Female Nude on a Kitchen Chair;1977–9;Linocut on paper;1979;1984;image: 2021 x 1370 mm;2021.0;1370.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 289 x 181 mm mount: 561 x 410 x 4 mm;289.0;181.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Aquatint on paper;1995;1997;image: 288 x 182 mm mount: 561 x 410 x 4 mm;288.0;182.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 284 x 188 mm mount: 561 x 409 x 4 mm;284.0;188.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Rebel;1965;Oil paint on canvas;1965;1982;support: 1627 x 1302 mm frame: 1650 x 1330 x 40 mm;1627.0;1302.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 289 x 180 mm mount: 562 x 411 x 4 mm;289.0;180.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 290 x 176 mm mount: 561 x 408 x 4 mm;290.0;176.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 284 x 184 mm mount: 561 x 411 x 4 mm;284.0;184.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 289 x 177 mm mount: 561 x 408 x 4 mm;289.0;177.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Rebel;1965;Etching, drypoint and aquatint on paper;1965;1982;image: 320 x 235 mm;320.0;235.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Folkdance Melancholia;1989;Oil paint on canvas;1989;2008;support: 2504 x 2510 x 58 mm;2504.0;2510.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 284 x 176 mm mount: 562 x 410 x 4 mm;284.0;176.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Aquatint and drypoint on paper;1995;1997;image: 289 x 176 mm mount: 562 x 409 x 4 mm;289.0;176.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 287 x 177 mm mount: 561 x 409 x 4 mm;287.0;177.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Drinker;1981;Linocut on paper;1981;1997;image: 798 x 593 mm;798.0;593.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 287 x 179 mm mount: 561 x 408 x 4 mm;287.0;179.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Untitled (with Dog and Axe);1967;Etching and drypoint on paper;1967;1982;image: 334 x 245 mm;334.0;245.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Aquatint and drypoint on paper;1995;1997;image: 287 x 171 mm mount: 561 x 411 x 4 mm;287.0;171.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Aquatint on paper;1995;1997;image: 295 x 179 mm mount: 561 x 408 x 4 mm;295.0;179.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Man on the Beach;1982;Relief print on paper;1982;1988;image: 853 x 634 mm;853.0;634.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Large Head;1966;Woodblock and monotype on paper;1966;1988;image: 438 x 405 mm;438.0;405.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 290 x 180 mm mount: 561 x 410 x 4 mm;290.0;180.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 283 x 188 mm mount: 562 x 409 x 4 mm;283.0;188.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 289 x 179 mm mount: 562 x 408 x 4 mm;289.0;179.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 284 x 177 mm mount: 561 x 410 x 4 mm;284.0;177.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Aquatint on paper;1995;1997;image: 283 x 175 mm mount: 560 x 410 x 4 mm;283.0;175.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 285 x 178 mm mount: 561 x 408 x 4 mm;285.0;178.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Adieu;1982;Oil paint on canvas;1982;1983;support: 2500 x 3005 mm;2500.0;3005.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Aquatint and drypoint on paper;1995;1997;image: 287 x 175 mm mount: 559 x 409 x 4 mm;287.0;175.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Aquatint and drypoint on paper;1995;1997;image: 282 x 175 mm mount: 561 x 409 x 4 mm;282.0;175.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 286 x 180 mm mount: 562 x 411 x 4 mm;286.0;180.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 290 x 181 mm mount: 562 x 411 x 4 mm;290.0;181.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 287 x 180 mm mount: 561 x 409 x 4 mm;287.0;180.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Aquatint and drypoint on paper;1995;1997;image: 288 x 179 mm mount: 560 x 409 x 4 mm;288.0;179.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Drummer;1982;Linocut on paper;1982;1984;support: 2010 x 1508 mm;2010.0;1508.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 293 x 180 mm mount: 561 x 409 x 4 mm;293.0;180.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 289 x 181 mm mount: 562 x 410 x 4 mm;289.0;181.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Study for Woodcut;1967;Graphite and chalk on paper;1967;1984;support: 611 x 430 mm;611.0;430.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 285 x 176 mm mount: 561 x 411 x 4 mm;285.0;176.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 286 x 175 mm mount: 563 x 408 x 4 mm;286.0;175.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Aquatint on paper;1995;1997;image: 284 x 175 mm mount: 561 x 409 x 4 mm;284.0;175.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Eagle;1981;Woodcut on paper;1981;1982;image: 647 x 497 mm support: 858 x 609 mm;647.0;497.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 289 x 182 mm mount: 562 x 409 x 4 mm;289.0;182.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 280 x 177 mm mount: 561 x 411 x 4 mm;280.0;177.0;Georg Baselitz;TATE
Baselitz, Georg;artist;[no title];1995;Drypoint on paper;1995;1997;image: 286 x 175 mm;286.0;175.0;Georg Baselitz;TATE
Baselitz, Georg;artist;Untitled;1982–3;Limewood;1982;1993;object: 2500 x 730 x 590 mm, 210 kg (415kg Gross);2500.0;730.0;Georg Baselitz;TATE
